"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"DevOps in Pakistani Software Industry","M. Usman Awais; A. Hussain","National University of Computer and Emerging Science,Department of Computer Science,Lahore,Pakistan; National University of Computer and Emerging Science,Department of Computer Science,Lahore,Pakistan","2020 14th International Conference on Open Source Systems and Technologies (ICOSST)","29 Jan 2021","2020","","","1","5","Researchers have been working to make software processes smooth and efficient. DevOps is a software development framework that fits best in the context of ever-emerging cloud technologies. DevOps has made it possible to automate each stage of software development, this is why it is gaining popularity rapidly. For the Pakistani software industry, the acceptance of DevOps is hindered by many factors. The most important of them all is the ever-widening disparity between the industry and academia. To assess the knowledge and acceptance of DevOps in the Pakistani software industry, a survey was conducted. Apart from other results, one conclusion is clear from the survey; Pakistani software engineers are completely aware of the changes taking place in the international market and they are trying to cope up with them, but the lack of theoretical knowledge is not allowing them to get to the pace they should have been. At the end of the article, some suggestions are presented to improve the situation.","","978-1-7281-9050-1","10.1109/ICOSST51357.2020.9333011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9333011","DevOps;Software Processes;Software Industry","Industries;Knowledge engineering;Organizations;Control systems;Software;Software engineering;Bars","cloud computing;DP industry;software development management;software engineering;software houses;software quality;team working","Pakistani software industry;software processes;software development framework;Pakistani software engineers;DevOps;cloud technologies;international market","","1","","8","","29 Jan 2021","","","IEEE","IEEE Conferences"
"End to End Automation on Cloud with Build Pipeline: The Case for DevOps in Insurance Industry, Continuous Integration, Continuous Testing, and Continuous Delivery","M. Soni","IGATE, Gandhinagar, India","2015 IEEE International Conference on Cloud Computing in Emerging Markets (CCEM)","21 Mar 2016","2015","","","85","89","In modern environment, delivering innovative idea in a fast and reliable manner is extremely significant for any organizations. In the existing scenario, Insurance industry need to better respond to dynamic market requirements, faster time to market for new initiatives and services, and support innovative ways of customer interaction. In past few years, the transition to cloud platforms has given benefits such as agility, scalability, and lower capital costs but the application lifecycle management practices are slow with this disruptive change. DevOps culture extends the agile methodology to rapidly create applications and deliver them across environment in automated manner to improve performance and quality assurance. Continuous Integration (CI) and Continuous delivery (CD) has emerged as a boon for traditional application development and release management practices to provide the capability to release quality artifacts continuously to customers with continuously integrated feedback. The objective of the paper is to create a proof of concept for designing an effective framework for continuous integration, continuous testing, and continuous delivery to automate the source code compilation, code analysis, test execution, packaging, infrastructure provisioning, deployment, and notifications using build pipeline concept.","","978-1-4673-8566-4","10.1109/CCEM.2015.29","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7436936","Cloud Computing;DevOps;Continuous Integration;Continuous Testing;Configuration Management;Continuous Delivery;Automation","Cloud computing;Pipelines;Automation;Servers;Testing;Configuration management;Insurance","cloud computing;insurance data processing;program diagnostics;program testing;software prototyping;source code (software)","build pipeline;software deployment;agile methodology;cloud computing;notifications;infrastructure provisioning;packaging;test execution;code analysis;source code compilation;continuous delivery;continuous testing;continuous integration;insurance industry;DevOps;end to end automation","","30","","4","","21 Mar 2016","","","IEEE","IEEE Conferences"
"CARO: A Conflict-Aware Requirement Ordering Tool for DevOps","M. Roy; N. Deb; A. Cortesi; R. Chaki; N. Chaki","University of Calcutta,Kolkata,India; Indian Institute of Information Technology,Vadodara,India; Ca’ Foscari University,Venice,Italy; University of Calcutta,Kolkata,India; University of Calcutta,Kolkata,India","2021 IEEE 29th International Requirements Engineering Conference (RE)","18 Nov 2021","2021","","","442","443","Requirement prioritization is an inherently important step in the DevOps framework. Unfortunately, the prioritization process often disregards the non-functional requirements and the possible conflicts among them. This implies that unresolved dependencies and conflicts would be identified at integration time only, which may lead to major refactoring issues. We introduce CARO a new tool that generates an ordering among the requirements based on conflicts and dependencies among the requirements. The tool provides a quantitative risk evaluation framework along with risk mitigation strategies based on conflicts and dependencies among the requirements.","2332-6441","978-1-6654-2856-9","10.1109/RE51729.2021.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9604702","DevOps;Dependencies;Conflicts;Risk analysis;Non-Functional Requirements","Analytical models;Conferences;Tools;Performance analysis;Risk management;Requirements engineering","cloud computing;risk analysis;software maintenance;software quality","CARO;conflict-aware requirement ordering tool;requirement prioritization;DevOps framework;nonfunctional requirements;integration time;quantitative risk evaluation framework;refactoring issues;risk mitigation strategies","","","","4","IEEE","18 Nov 2021","","","IEEE","IEEE Conferences"
"Continuous and Integrated Software Development using DevOps","A. Agarwal; S. Gupta; T. Choudhury","Amity University Uttar Pradesh, Noida, India; Amity University Uttar Pradesh, Noida, India; University of Petroleum and Energy Studies, Dehradun, India","2018 International Conference on Advances in Computing and Communication Engineering (ICACCE)","11 Sep 2018","2018","","","290","293","Devops is all about culture, automation, measurement and sharing (CAMS). It is gaining popularity because of its continuous approach - continuous integration(CI), continuous deployment (CD) and software delivery. CI requires the developer to commit the code several times in a day followed by automatic build and test and immediate feedback to the developer whenever any bug is encountered. If no bug is encountered, the committed code is pushed to the production. According to the 2017 State Of Devops Report, high performance companies like Amazon and Netflix deploy thousands of times per day. Configuration management allows the rollback of previous code for the developer. However several factors prevent the organizations from adopting these approaches like lack of fully automated acceptance test, poor rollback methodology, manually driven quality check etc. This research paper provides various methodologies and tools that can constitute an effective CD/CI pipeline.","","978-1-5386-4485-0","10.1109/ICACCE.2018.8458052","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8458052","Devops;deployment;integration;performance;Testing","Tools;Software;Testing;Organizations;Automation;Production;Pipelines","configuration management;integrated software;program testing;software prototyping;software quality","continuous approach;software delivery;immediate feedback;bug;committed code;Devops Report;fully automated acceptance test;Configuration management;rollback methodology;manually driven quality check;effective CD-CI pipeline;continuous integration;CAMS;culture automation measurement and sharing;software development","","7","","10","","11 Sep 2018","","","IEEE","IEEE Conferences"
"IAI DevOps: A Systematic Framework for Prognostic Model Lifecycle Management","Z. Guo; T. Bao; W. Wu; C. Jin; J. Lee","CyberInsight Technology, Co, Ltd,Industrial AI Lab & Department of Product R&D,Beijing,People’s Republic of China; CyberInsight Technology, Co, Ltd,Industrial AI Lab & Department of Product R&D,Beijing,People’s Republic of China; CyberInsight Technology, Co, Ltd,Industrial AI Lab & Department of Product R&D,Beijing,People’s Republic of China; CyberInsight Technology, Co, Ltd,Industrial AI Lab & Department of Product R&D,Beijing,People’s Republic of China; University of Cincinnati,Center for Intelligent Maintenance Systems (IMS),Cincinnati,OH,United States of America","2019 Prognostics and System Health Management Conference (PHM-Qingdao)","27 Dec 2019","2019","","","1","6","This paper proposes IAI DevOps, a systematic framework to address challenges of developing and operationalizing AI models in manufacturing industries, with an emphasis on prognostics and health management (PHM) applications. The paper starts by introducing the growing need of accelerating AI model development and enhancing its lifecycle reliability in industrial AI systems. The framework for industrial AI (IAI) DevOps is then proposed, with key components including industrial data management, streamlined model training, risk monitoring and model update, and decision support and feedback. After detailed introduction of the function and principles of each component, an implementation of the supporting platform is illustrated for the reference of the readers. With the help of the IAI DevOps framework, the authors believe that interdisciplinary engineering teams can collaborate better to accelerate the implementation of PHM systems as well as broader industrial AI applications in manufacturing industries.","","978-1-7281-0861-2","10.1109/PHM-Qingdao46334.2019.8943069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8943069","Industrial AI;DevOps;model lifecycle management;PHM","Iron;Frequency modulation;IP networks","artificial intelligence;manufacturing industries;production engineering computing","prognostics and health management applications;industrial AI applications;PHM systems;IAI DevOps framework;decision support;risk monitoring;streamlined model training;industrial data management;industrial AI DevOps;industrial AI systems;lifecycle reliability;AI model development;AI models;prognostic model lifecycle management","","","","25","","27 Dec 2019","","","IEEE","IEEE Conferences"
"Understanding DevOps Education with Grounded Theory","C. Pang; A. Hindle; D. Barbosa","Computer Science, MacEwan University,Edmonton,Alberta,Canada; Computing Science, University of Alberta,Edmonton,Alberta,Canada; Computing Science, University of Alberta,Edmonton,Alberta,Canada","2020 IEEE/ACM 42nd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)","28 Dec 2020","2020","","","107","118","DevOps stands for Development-Operations. It arises from the IT industry as a movement aligning development and operations teams. DevOps is broadly recognized as an IT standard, and there is high demand for DevOps practitioners in industry. Since ACM & IEEE suggest that undergraduate computer science curricula “must adequately prepare [students] for the workforce”, we studied whether undergraduates acquired adequate DevOps skills to fulfill the demand for DevOps practitioners in industry. We employed Grounded Theory (GT), a social science qualitative research methodology, to study DevOps education from academic and industrial perspectives. In academia, academics were not motivated to learn or adopt DevOps, and we did not find strong evidence of academics teaching DevOps. Academics need incentives to adopt DevOps, in order to stimulate interest in teaching DevOps. In industry, DevOps practitioners lack clearly defined roles and responsibilities, for the DevOps topic is diverse and growing too fast. Therefore, practitioners can only learn DevOps through hands-on working experience. As a result, academic institutions should provide fundamental DevOps education (in culture, procedure, and technology) to prepare students for their future DevOps advancement in industry. Based on our findings, we proposed five groups of future studies to advance DevOps education in academia.","","978-1-4503-7124-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9291778","Software Engineering;Continuous Integration;Continuous Delivery;DevOps;Grounded Theory;Education","Encoding;Industries;Interviews;Training;Software engineering;Tools;Social sciences","computer science education;DP industry;educational courses;teaching","IT industry;Development-Operations;DevOps advancement;DevOps education;DevOps topic;DevOps skills;DevOps practitioners;operations teams;movement aligning development;Grounded Theory","","","","60","","28 Dec 2020","","","IEEE","IEEE Conferences"
"Continuous scrum: A framework to enhance scrum with DevOps","S. S. Samarawickrama; I. Perera","Department of Computer Science, Faculty of Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Department of Computer Science, Faculty of Engineering, University of Moratuwa, Moratuwa, Sri Lanka","2017 Seventeenth International Conference on Advances in ICT for Emerging Regions (ICTer)","15 Jan 2018","2017","","","1","7","There has been a significant impact on software development lifecycle by the non-plan driven software processes such as Agile derived models i.e. Scrum, Extreme Programming (XP) and recently introduced DevOps practice. In this paper capabilities and limitation of these above mentioned Agile based practices has been examine. A Scrum based software development framework that supports continuous integration and rapid delivery had been developed. The developed software lifecycle management framework has overcame the common challenges that software practitioners may experience.","2472-7598","978-1-5386-2444-9","10.1109/ICTER.2017.8257808","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257808","Software Development Life Cycle;Agile;Scrum;DevOps","Software;Scrum (Software development);Business;Industries;Programming;Productivity","project management;software development management;software prototyping;software quality","Agile based practices;DevOps practice;Extreme Programming;nonplan driven software processes;software development lifecycle;continuous scrum;software practitioners;developed software lifecycle management framework;continuous integration;Scrum based software development framework","","7","","18","","15 Jan 2018","","","IEEE","IEEE Conferences"
"Microservices Architecture in DevOps","M. Waseem; P. Liang","State Key Lab. of Software Eng., Wuhan Univ., Wuhan, China; State Key Lab. of Software Eng., Wuhan Univ., Wuhan, China","2017 24th Asia-Pacific Software Engineering Conference Workshops (APSECW)","12 Mar 2018","2017","","","13","14","This doctoral research proposal is designed to address the challenges on employing microservices architecture (MSA) in DevOps. These two practices are relatively recent trends on the crowded street of software engineering paradigms. We believe that the coexistence of these practices may bring new challenges for architects about making and implementing decisions of microservices in DevOps. We plan to gain a deep understanding of the challenges/solutions, architecture description, migration, refactoring, and evolution in MSA with DevOps. Our expected outcome would be: (i) a systematic mapping study on MSA in DevOps, (ii) an evidence based framework for synthesizing MSA challenges/solutions in DevOps, (iii) recommendations for documenting MSA in DevOps based on industrial practices, (iv) a migration process from monolithic applications/architecture to MSA in DevOps, and (v) empirical reports on MSA refactoring and evolution in DevOps.","","978-1-5386-2649-8","10.1109/APSECW.2017.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8312518","Microservices Architecture;DevOps;Systematic Mapping Study","Systematics;Computer architecture;Software engineering;Conferences;Architecture;Market research","software architecture;software development management;software maintenance;software prototyping","DevOps;microservices architecture;MSA;software engineering paradigms","","4","","12","","12 Mar 2018","","","IEEE","IEEE Conferences"
"DevOps Transformation for Multi-Cloud IoT Applications","L. Georgeta Guşeilă; D. -V. Bratu; S. -A. Moraru","Transilvania University of Braşov,Department of Automatics and Information Technology,Braşov,România; Transilvania University of Braşov,Department of Automatics and Information Technology,Braşov,România; Transilvania University of Braşov,Department of Automatics and Information Technology,Braşov,România","2019 International Conference on Sensing and Instrumentation in IoT Era (ISSI)","23 Mar 2020","2019","","","1","6","In the dynamic IoT ecosystem, the fast development of applications is critical to achieve business goals and stay ahead of the competition. DevOps is a software development method that enables enterprises to deliver software product features through process automation, foster team collaboration and increase efficiency in the entire software lifecycle management building the way towards cloudification and enabling digital transformation. Furthermore, DevOps relies on automation in operations through monitoring and measuring the KPIs of a running system. The research presents the role of DevOps in the transformation of the IT Service delivery using a DevOps assessment to establish the maturity of software applications and the adoption of DevOps using the CI/CD) pipeline and automated testing. The paper provides a conceptual view of the CI/CD) pipeline based on agile tool, which will be implemented during future research.","","978-1-7281-1022-6","10.1109/ISSI47111.2019.9043730","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9043730","IoT;DevOps;DevOps Assessment;Software Lifecycle Management;Continuous Integration;Continuous Delivery;Test Automation","Software;Testing;Business;Automation;Tools;Internet of Things;Collaboration","business data processing;cloud computing;DP industry;DP management;groupware;Internet of Things;software development management","automated testing;DevOps transformation;multicloud IoT applications;software development method;software product features;process automation;team collaboration;software lifecycle management;cloudification;digital transformation;DevOps assessment;CI/CD pipeline;IT Service delivery","","1","","8","","23 Mar 2020","","","IEEE","IEEE Conferences"
"Capabilities and Practices in DevOps: A Multivocal Literature Review","R. M. D. Amaro; R. Pereira; M. Mira da Silva","Departamento de Cincias e Tecnologias da Informao (ISTA), ISCTE-Instituto Universitrio de Lisboa, 56061 Lisboa, Lisboa, Portugal; Departamento de Cincias e Tecnologias da Informao (ISTA), ISCTE-Instituto Universitrio de Lisboa, 56061 Lisboa, Lisboa, Portugal; Department of Computer Science and Engineering, Universidade de Lisboa Instituto Superior Tcnico, 72971 Lisboa, Lisboa, Portugal","IEEE Transactions on Software Engineering","","2022","PP","99","1","1","Context: To meet the demands of customers and market, Information Technology (IT) organizations are seeking to implement DevOps. While many succeed in DevOps adoption, others lack the knowledge on how to incorporate DevOps culture, process, measurements, and techniques in their business. Thus, successful adoption is still inconsistent, highlighting the need to provide management with relevant information to support the development of DevOps Capabilities effectively. But what are these Capabilities Unfortunately, there is still a lack of clarity about DevOps Capabilities and their relationships to DevOps Practices and Outcomes among researchers and practitioners. Objective: This research aims to gather community consensus on the relationship between Capabilities and Practices, so a better DevOps implementation can be mapped. Seeking to define DevOps Capabilities and Practices concepts and to identify, organize and summarize Capabilities as they relate to Practices. Method: A Multivocal Literature Review (MLR) is conducted, with 93 documents gathered and thoroughly examined from throughout the community, including books, scientific articles, white papers, and conferences, among others. Results: This survey contributes a list of 37 organized Capabilities, their mentions in literature, and their definitions. The concepts of Practices and Capabilities were mapped and categorized in an ordered taxonomy. It is concluded that industry research has much outweighed scientific research on this topic, with Capabilities evolving dynamically over time, reinforcing team collaboration and communication as the most crucial one. The studys Outcomes will assist researchers and practitioners understand how Capabilities and Practices are related at different levels and how to better implement them.","1939-3520","","10.1109/TSE.2022.3166626","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9756241","DevOps Capabilities;DevOps Practices;Software Engineering Process;Software release management and delivery;Software Development;Multivocal Literature Review","Software;Bibliographies;Collaboration;Industries;Automation;Terminology;Systematics","","","","","","","IEEE","12 Apr 2022","","","IEEE","IEEE Early Access Articles"
